ID_transaccion,proveedor_id,fecha_factura,fecha_vencimiento,monto,condiciones_pago,estado_pago,dias_credito,descuento_pronto_pago,penalizacion_mora,metodo_pago,aprobador,duplicate_has_anomaly,duplicate_type,duplicate_description,format_has_anomaly,format_type,format_description,temporal_has_anomaly,temporal_type,temporal_description,business_rules_has_anomaly,business_rules_type,business_rules_description,approver_has_anomaly,approver_type,approver_description,amount_has_anomaly,amount_type,amount_description,discount_penalty_has_anomaly,discount_penalty_type,discount_penalty_description,cross_consistency_has_anomaly,cross_consistency_type,cross_consistency_description,total_anomalies,has_any_anomaly
282,1030,2022-08-25,2023-11-18,9540.0,90 días,Pagado,60,0,1,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (450 días) vs esperada (90 días): 360 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
283,1093,2022-05-08,2023-11-13,8827.99,30 días,Pagado,60,5,0,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (554 días) vs esperada (30 días): 524 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
284,1041,2022-02-08,2023-12-06,5886.55,60 días,Retrasado,60,5,0,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (666 días) vs esperada (60 días): 606 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
285,1098,2022-08-15,2023-06-05,8354.54,90 días,Pendiente,30,0,2,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (294 días) vs esperada (90 días): 204 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-06-05),3,True
286,1006,2022-10-09,2023-09-10,15573.77445149734,90 días,Retrasado,30,10,2,Transferencia,Alice,False,,,True,FORMAT_ANOMALY,Monto con 11 decimales,True,TEMPORAL_ANOMALY,Diferencia real (336 días) vs esperada (90 días): 246 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,True,ATYPICAL_AMOUNT,Monto atípico global: $15573.77 (Z-score: 3.32); Atípico para proveedor 1006 (Z-score: 3.06); Atípico para aprobador Alice (Z-score: 3.50),True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),6,True
287,1015,2022-02-20,2023-10-22,877.72,90 días,Pagado,90,10,0,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (609 días) vs esperada (90 días): 519 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
288,1089,2022-01-26,2023-10-10,7431.59,30 días,Retrasado,90,10,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (622 días) vs esperada (30 días): 592 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
289,1059,2022-11-30,2023-07-04,1039.59,90 días,Retrasado,30,10,0,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (216 días) vs esperada (90 días): 126 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
290,1001,2022-10-04,2023-02-08,5981.42,60 días,Retrasado,90,0,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (127 días) vs esperada (60 días): 67 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
291,1000,2022-01-08,2023-12-30,7056.14,90 días,Pagado,60,0,0,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (721 días) vs esperada (90 días): 631 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
292,1047,2022-02-17,2023-06-13,758.62,30 días,Retrasado,90,0,0,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (481 días) vs esperada (30 días): 451 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
293,1011,2022-05-02,2023-09-28,2384.87,90 días,Pagado,90,0,2,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (514 días) vs esperada (90 días): 424 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),3,True
294,1068,2022-03-27,2023-04-24,9165.16,30 días,Pendiente,90,5,0,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (393 días) vs esperada (30 días): 363 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-24),3,True
295,1036,2022-07-28,2023-04-06,6201.51,30 días,Retrasado,30,5,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (252 días) vs esperada (30 días): 222 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
296,1031,2022-09-06,2023-09-25,2538.23,60 días,Retrasado,30,5,1,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (384 días) vs esperada (60 días): 324 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
297,1008,2022-09-04,2023-02-05,6937.73,60 días,Pagado,90,0,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (154 días) vs esperada (60 días): 94 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
298,1098,2022-04-20,2023-09-17,6008.09,90 días,Retrasado,60,10,2,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (515 días) vs esperada (90 días): 425 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
299,1018,2022-07-25,2023-03-24,5065.6,30 días,Pagado,90,5,0,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (242 días) vs esperada (30 días): 212 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
300,1047,2022-01-31,2023-08-02,9764.25,30 días,Retrasado,30,5,2,Transferencia,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (548 días) vs esperada (30 días): 518 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),3,True
301,1079,2022-03-26,2023-10-07,6866.19,60 días,Pendiente,60,0,1,Transferencia,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (560 días) vs esperada (60 días): 500 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-10-07),2,True
302,1002,2022-07-14,2023-10-03,3816.87,60 días,Pendiente,90,10,2,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (446 días) vs esperada (60 días): 386 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-10-03),3,True
303,1019,2022-01-02,2023-07-27,8020.73,90 días,Pendiente,30,10,2,Transferencia,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (571 días) vs esperada (90 días): 481 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-07-27),3,True
304,1023,2022-07-19,2023-02-18,8857.37,30 días,Retrasado,60,10,1,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (214 días) vs esperada (30 días): 184 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
305,1053,2022-05-16,2023-06-29,1339.68,60 días,Retrasado,90,0,0,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (409 días) vs esperada (60 días): 349 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
306,1032,2022-08-21,2023-04-25,2085.47,90 días,Pendiente,30,10,0,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (247 días) vs esperada (90 días): 157 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-25),3,True
307,1023,2022-05-27,2023-04-21,2240.65,30 días,Pendiente,60,5,2,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (329 días) vs esperada (30 días): 299 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-21),3,True
308,1074,2022-08-05,2023-12-07,6943.0,30 días,Pagado,90,5,1,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (489 días) vs esperada (30 días): 459 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
309,1071,2022-12-23,2023-06-20,6070.09,60 días,Pagado,60,5,1,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (179 días) vs esperada (60 días): 119 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),3,True
310,1035,2022-10-12,2023-06-20,6228.02,90 días,Pendiente,60,0,1,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (251 días) vs esperada (90 días): 161 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-06-20),3,True
311,1037,2022-12-05,2023-07-05,9413.66,60 días,Pendiente,60,10,0,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (212 días) vs esperada (60 días): 152 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-07-05),2,True
312,1083,2022-09-07,2023-06-01,7781.52,90 días,Retrasado,30,0,1,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (267 días) vs esperada (90 días): 177 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,False,,,2,True
313,1098,2022-03-21,2023-04-23,1366.58,30 días,Pendiente,90,10,1,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (398 días) vs esperada (30 días): 368 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-04-23),3,True
314,1088,2022-04-08,2023-11-14,3540.32,90 días,Pagado,60,0,0,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (585 días) vs esperada (90 días): 495 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
315,1098,2022-06-01,2023-09-30,4410.4,90 días,Pagado,60,5,1,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (486 días) vs esperada (90 días): 396 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 1% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (1%),4,True
316,1024,2022-04-22,2023-09-02,4020.02,90 días,Pagado,60,0,0,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (498 días) vs esperada (90 días): 408 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
317,1092,2022-01-30,2023-10-16,6726.16,90 días,Pagado,30,0,2,Transferencia,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (624 días) vs esperada (90 días): 534 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
318,1017,2022-10-24,2023-11-30,8929.74,90 días,Pagado,60,0,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (402 días) vs esperada (90 días): 312 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
319,1081,2022-10-05,2023-01-06,3129.91,60 días,Pagado,30,5,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (93 días) vs esperada (60 días): 33 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
320,1065,2022-02-01,2023-03-01,5563.58,90 días,Pendiente,30,0,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (393 días) vs esperada (90 días): 303 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-03-01),3,True
321,1053,2022-06-10,2023-12-10,7915.15,90 días,Pagado,60,0,2,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (548 días) vs esperada (90 días): 458 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
322,1034,2022-01-30,2023-06-28,4220.56,30 días,Pagado,60,5,0,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (514 días) vs esperada (30 días): 484 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,False,,,2,True
323,1079,2022-01-26,2023-08-18,1764.37,90 días,Pagado,30,10,0,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (569 días) vs esperada (90 días): 479 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,False,,,2,True
324,1060,2022-10-27,2023-05-05,4802.01,30 días,Pagado,30,0,0,Transferencia,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (190 días) vs esperada (30 días): 160 días de diferencia,False,,,False,,,False,,,False,,,False,,,1,True
325,1040,2022-09-02,2023-11-26,646.7,60 días,Pendiente,60,5,1,Cheque,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (450 días) vs esperada (60 días): 390 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-11-26),2,True
326,1099,2022-09-15,2023-11-12,9429.6,60 días,Retrasado,30,0,2,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (423 días) vs esperada (60 días): 363 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 30 días,False,,,False,,,False,,,False,,,2,True
327,1032,2022-09-29,2023-11-16,840.73,90 días,Retrasado,30,5,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (413 días) vs esperada (90 días): 323 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 30 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
328,1067,2022-03-22,2023-05-06,4440.72,60 días,Retrasado,60,10,1,Cheque,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (410 días) vs esperada (60 días): 350 días de diferencia,False,,,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),3,True
329,1032,2022-01-30,2023-01-22,5345.82,90 días,Retrasado,60,10,1,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (357 días) vs esperada (90 días): 267 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
330,1013,2022-09-18,2023-12-17,9854.51,60 días,Pagado,90,0,2,Cheque,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (455 días) vs esperada (60 días): 395 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
331,1020,2022-02-11,2023-06-15,1743.62,90 días,Retrasado,60,5,1,Efectivo,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (489 días) vs esperada (90 días): 399 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 5% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (5%),4,True
332,1047,2022-04-06,2023-07-16,1232.87,90 días,Retrasado,60,10,2,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (466 días) vs esperada (90 días): 376 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Descuento de 10% aplicado a pago retrasado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Retrasado' pero tiene descuento pronto pago (10%),4,True
333,1019,2022-02-05,2023-03-01,186.19,30 días,Pendiente,60,10,2,Transferencia,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (389 días) vs esperada (30 días): 359 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-03-01),3,True
334,1007,2022-11-01,2023-07-18,1640.16,30 días,Pendiente,90,5,2,Transferencia,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (259 días) vs esperada (30 días): 229 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-07-18),3,True
335,1006,2022-02-04,2023-05-13,2152.0,30 días,Pendiente,30,0,1,Efectivo,Bob,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (463 días) vs esperada (30 días): 433 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-05-13),2,True
336,1066,2022-12-12,2023-10-05,6342.75,30 días,Pagado,60,10,2,Efectivo,David,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (297 días) vs esperada (30 días): 267 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '30 días' (esperado: 30 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
337,1016,2022-05-01,2023-05-26,2275.1,90 días,Pagado,60,10,2,Cheque,Alice,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (390 días) vs esperada (90 días): 300 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '90 días' (esperado: 90 días) vs dias_credito otorgados: 60 días,False,,,False,,,True,DISCOUNT_PENALTY_ANOMALY,Penalización de 2% en pago marcado como pagado (ilógico),True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pagado' pero tiene penalización por mora (2%),4,True
338,1032,2022-07-26,2023-01-14,303.16,60 días,Pagado,90,10,0,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (172 días) vs esperada (60 días): 112 días de diferencia,True,PAYMENT_TERMS_INCONSISTENCY,Inconsistencia: condiciones '60 días' (esperado: 60 días) vs dias_credito otorgados: 90 días,False,,,False,,,False,,,False,,,2,True
339,1047,2022-03-03,2023-09-23,8283.52,90 días,Pendiente,90,0,1,Efectivo,Charlie,False,,,False,,,True,TEMPORAL_ANOMALY,Diferencia real (569 días) vs esperada (90 días): 479 días de diferencia,False,,,False,,,False,,,False,,,True,CROSS_CONSISTENCY_ANOMALY,Marcado como 'Pendiente' pero ya venció (2023-09-23),2,True
