ID_proveedor,nombre,tipo_empresa,país,categoría_riesgo,condiciones_negociadas,descuentos_especiales,límites_crédito,histórico_performance,contactos_emergencia,certificaciones
135,Proveedor_135,Grande,Canadá,Alto,Net 30,0,47928,"{'on_time_delivery': '88%', 'quality_issues': 8, 'customer_complaints': 7}",contacto_135@empresa.com,['OHSAS 18001']
136,Proveedor_136,Grande,Argentina,Medio,Net 60,15,31329,"{'on_time_delivery': '88%', 'quality_issues': 0, 'customer_complaints': 1}",contacto_136@empresa.com,['ISO 9001']
137,Proveedor_137,Mediana,USA,Medio,Net 60,15,21282,"{'on_time_delivery': '100%', 'quality_issues': 3, 'customer_complaints': 4}",contacto_137@empresa.com,"['OHSAS 18001', 'ISO 14001', 'None']"
138,Proveedor_138,Grande,Brasil,Medio,Net 90,10,28624,"{'on_time_delivery': '81%', 'quality_issues': 0, 'customer_complaints': 5}",contacto_138@empresa.com,"['ISO 9001', 'None']"
139,Proveedor_139,Grande,USA,Bajo,Net 60,5,28321,"{'on_time_delivery': '84%', 'quality_issues': 5, 'customer_complaints': 4}",contacto_139@empresa.com,"['OHSAS 18001', 'ISO 45001', 'ISO 14001']"
140,Proveedor_140,Pequeña,Brasil,Bajo,Net 90,10,15488,"{'on_time_delivery': '85%', 'quality_issues': 5, 'customer_complaints': 7}",contacto_140@empresa.com,"['OHSAS 18001', 'ISO 14001']"
141,Proveedor_141,Grande,USA,Bajo,Net 60,0,27574,"{'on_time_delivery': '97%', 'quality_issues': 5, 'customer_complaints': 6}",contacto_141@empresa.com,['OHSAS 18001']
142,Proveedor_142,Grande,Argentina,Bajo,Net 30,0,10240,"{'on_time_delivery': '97%', 'quality_issues': 0, 'customer_complaints': 1}",contacto_142@empresa.com,"['ISO 9001', 'None']"
143,Proveedor_143,Mediana,Brasil,Bajo,Net 90,0,48221,"{'on_time_delivery': '82%', 'quality_issues': 5, 'customer_complaints': 2}",contacto_143@empresa.com,"['ISO 45001', 'ISO 9001']"
144,Proveedor_144,Mediana,Canadá,Alto,Net 90,0,15478,"{'on_time_delivery': '97%', 'quality_issues': 1, 'customer_complaints': 5}",contacto_144@empresa.com,"['ISO 9001', 'ISO 14001', 'None']"
145,Proveedor_145,Pequeña,USA,Alto,Net 30,15,24262,"{'on_time_delivery': '98%', 'quality_issues': 8, 'customer_complaints': 2}",contacto_145@empresa.com,"['OHSAS 18001', 'ISO 9001', 'ISO 45001']"
146,Proveedor_146,Grande,USA,Bajo,Net 90,0,9432,"{'on_time_delivery': '93%', 'quality_issues': 1, 'customer_complaints': 0}",contacto_146@empresa.com,['None']
147,Proveedor_147,Grande,Brasil,Medio,Net 90,15,34721,"{'on_time_delivery': '89%', 'quality_issues': 2, 'customer_complaints': 0}",contacto_147@empresa.com,"['None', 'ISO 14001']"
148,Proveedor_148,Grande,Canadá,Bajo,Net 60,15,18568,"{'on_time_delivery': '91%', 'quality_issues': 1, 'customer_complaints': 10}",contacto_148@empresa.com,"['ISO 45001', 'None', 'ISO 14001']"
149,Proveedor_149,Pequeña,Canadá,Alto,Net 90,0,19178,"{'on_time_delivery': '87%', 'quality_issues': 8, 'customer_complaints': 1}",contacto_149@empresa.com,"['None', 'ISO 45001']"
150,Proveedor_150,Pequeña,Argentina,Alto,Net 30,0,27195,"{'on_time_delivery': '91%', 'quality_issues': 8, 'customer_complaints': 6}",contacto_150@empresa.com,"['None', 'ISO 9001']"
